음식명,총내용량,열량(kcal)(1회제공량당),탄수화물(g)(1회제공량당),단백질(g)(1회제공량당),지방(g)(1회제공량당),당류(g)(1회제공량당),나트륨(mg)(1회제공량당),콜레스테롤(mg)(1회제공량당),포화지방산(g)(1회제공량당),트랜스지방(g)(1회제공량당)
해파리냉채,150,91,13.4,6.2,1.4,11.4,508.77,40.33,0.3,0
고들빼기,50,55.53,10.93,1.58,0.61,2.84,742.43,2.98,0.07,0
열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0
미나리나물,50,29.53,2.24,1.02,1.83,0,150.33,0,0.25,0.01
취나물,50,74.1,3.31,1.38,6.15,0,281.86,0,0.84,0.03
콩나물,50,25.34,0.94,1.68,1.65,0.02,213.95,0,0.22,0.01
경단(깨),100,319.47,74.22,4.44,0.54,26.64,180,0,0.46,0
경단(콩),100,314.32,74.03,3.51,0.46,20.55,225.83,0,0.19,0
기피편,100,219.97,48.99,5.45,0.25,2.08,281.06,0,0.13,0
녹두시루떡,100,246.07,48.08,7.74,2.53,4.05,263.66,0,0.52,0
메밀전병,100,167.83,21.62,6.19,6.29,0.62,345.81,8.05,1.19,0.04
무지개떡,100,228.97,53.01,3.53,0.31,8.99,276.82,0,0.16,0
송편(깨),100,224.15,44.96,4.93,2.74,1.15,231.82,0,0.48,0
송편(콩),100,194.33,41.66,5.24,0.75,1.26,233.5,0,0.24,0
수수부꾸미,100,247.89,42.1,5.73,6.29,0.24,261,0,0.97,0.03
수수팥떡,100,204.24,43.03,6.7,0.59,2.82,241.93,0,0.17,0
시루떡,100,217.48,47.54,5.47,0.61,3.22,277.91,0,0.24,0
쑥떡,100,248.64,57.89,3.36,0.4,10.73,254.32,0,0.2,0
절편,100,192.89,43.94,3.64,0.29,0.07,265.87,0.03,0.19,0
찹쌀떡,100,276.87,65.61,3.27,0.15,17.54,225.61,0,0.15,0
간자장,650,824.54,134.22,22.33,22.03,12.16,2716.2,28.73,9.71,0.24
굴짬뽕,900,680.67,115.69,32.87,9.61,1.7,2662.35,163.31,1.41,0.04
기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.55,2.12,0
김치라면,650,552,86.2,13.8,16.9,1.2,2531.6,45.65,6.8,0.1
김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0
냉김치말이국수,600,302.53,52,12.9,4.8,8.3,2121.62,88.95,1.1,0
닭칼국수,900,663,94.7,42.2,12.8,5.3,2125.17,95.67,2.5,0
둘깨칼국수,600,457.88,59.8,17.6,16.5,1.4,1192.57,3.36,1.5,0
막국수,1000,571.59,109.8,20,5.8,9.4,3260.05,43.17,1,0
삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0
삼선자장면,700,803.9,126.53,33.64,18.14,10.15,2628.24,166.57,4.06,0.09
삼선짬뽕,900,662.37,101.73,39.63,10.77,1.09,2689.13,312.48,1.91,0.02
쌀국수,600,320.32,55.1,15.6,4.2,4.3,1651.58,33.6,1.4,0.1
열무김치국수,800,431,69.6,15,10.2,18.6,3007.45,15.37,0.6,0.1
열무냉면,800,525.49,97.52,20.84,5.78,27.15,3152.37,67.78,1.36,0
오일소스스파게티,400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05
올갱이국수,1500,566,111.6,11.2,8.3,18.6,3862.84,0,1.5,0
우동(일식),700,421.51,74.2,13.39,7.91,2.48,2390.32,25.98,1.49,0.01
우동(중식),1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42,3.35,0.03
울면,1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79,1.85,0.01
자장면,650,796.5,133.63,19.77,20.32,7.8,2391.58,10.76,8.52,0.17
짬뽕라면,750,689,92,21.3,26.3,1.6,2493.81,106.69,8.6,0.1
치즈라면,600,595,80,16.8,23,0.9,2113.4,103.67,9.4,0.2
크림소스스파게티,400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58,25.67,1.01
토마토소스스파게티,500,642.58,93.2,24.35,19.15,15.6,1508.63,49.17,5.44,0.21
해물칼국수,900,628.26,123.9,22.8,4.61,3.81,2355.07,26.7,1.3,0.01
해물크림소스스파게티,500,917.57,86.97,30.39,49.79,8.36,1323.7,210.89,24.73,0.94
해물토마토소스스파게티,500,584.44,87.24,27.97,13.73,13.48,1533.16,159.64,3.14,0.07
골뱅이무침,100,108.79,15.69,7.08,1.97,10.47,525.52,38.35,0.26,0.02
노각무침,150,84,14.3,2.6,1.8,7.1,817.37,0,0.2,0
단무지무침,50,20,2.8,0.5,0.8,0.7,428.92,0,0.1,0
달래나물무침,150,136,23.8,4,2.8,11.2,867.04,0,0.3,0
더덕무침,150,216,43.4,4.3,2.8,20.2,1246.58,0.17,0.4,0
도토리묵,100,45.6,10.38,0.29,0.32,0.43,124.15,0,0.03,0
밴댕이무침,400,600.01,46,29.8,33,27,1027.23,101.51,4.6,0.2
서대회무침,300,315.21,45.9,22.6,4.6,22.3,1198.9,67.71,0.5,0
쑥갓나물무침,150,96,6.6,4.5,5.7,0.3,709.99,0.05,0.7,0
우거지나물무침,150,129,8.7,4.5,8.5,1.5,772.52,1.31,1,0.1
쥐치채,20,55.92,10.9,2.75,0.15,4.55,296.34,8.57,0.19,0.01
청포묵무침,250,149,22.7,2.9,5.2,1.8,724.02,0,0.8,0
탕평채,100,97.5,12.26,3.55,3.81,0.4,260.4,47.24,0.73,0.03
홍어무침,200,198.94,25.95,17.85,2.63,14.46,802.04,57.03,0.36,0
고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58,0.21,342.92,3.51,0.45,0.01
곤드레나물밥,350,521.83,98.9,10.3,9.5,0,90.62,0,0.9,0
국밥,800,418.35,58.6,27.6,8.2,0.4,2301.55,47.81,2.7,0.2
농어초밥,250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02
돼지국밥,1200,911.4,74.7,66.4,38.6,0,1096.58,142.55,8.4,0.2
류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.4,0.12
멍게비빔밥,400,547.21,90.7,16.6,13.1,16.7,1144.8,21.9,2.4,0.1
멸치주먹밥,150,312,54.3,9,6.6,0.9,496.21,42.45,1.1,0
묵밥,950,642.16,128.6,14.8,7.7,15.1,2075.5,42.65,1.5,0
문어초밥,250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0
비빔밥,450,691.62,98.7,24.6,22,18.3,1119.66,95.42,3.9,0.1
삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15
새우초밥,250,387.67,78.42,16.8,0.75,11.65,1110.29,72.65,0.55,0.01
새우튀김롤,300,606.5,96.28,14.47,18.17,11.14,1391.43,55.88,3.41,0.12
샐러드김밥,250,405.95,61.45,9.62,13.52,3.42,911.18,84.58,2.79,0.06
생선초밥(광어),300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
생선초밥(모듬),300,461.97,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04
소고기국밥,700,330.53,42.6,21.8,8.1,2.8,1786.31,41.85,2.3,0.1
소고기김밥,250,400.61,62.52,15.98,9.63,0.84,1061.19,93.09,2.53,0.11
송이덮밥,600,581.81,95.6,18.21,14.06,2.27,1678.01,48.2,2.79,0.1
숯불갈비 삼각김밥,100,161.24,32.55,4,1.67,0.17,358.36,4.04,0.53,0.02
약초비빔밥,400,511.8,80.2,11.9,15.9,2.9,971.61,0,2.4,0.1
연어롤,300,510.19,74.32,18.57,15.4,8.47,1211.9,61.97,2.83,0.1
연어초밥,250,447.32,71.04,18.88,9.74,12.88,1064.39,32.05,1.84,0.06
오곡밥,250,388.82,82.32,11.95,1.3,0.17,113.9,0,0.42,0
자장밥,500,741.66,120.06,15.24,22.28,5.37,1560.38,26.44,8.56,0.17
잡탕밥,750,777.44,104.94,44.12,20.14,0.48,2109.52,329.85,4.07,0.12
장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.77,234.56,5.18,0.23
장어초밥,250,486.26,80.68,16.52,10.83,13.67,1270.91,102.77,2.91,0.1
참치덮밥,500,679.1,102.93,29.2,16.73,2.98,1618.75,115.79,3.41,0.09
참치마요네즈 삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
충무김밥,400,583.93,109.16,23.43,5.96,17.19,1294.27,156.85,1.1,0.03
캘리포니아롤,300,487.64,89.23,12.33,9.05,8.9,1295.88,65.96,2.14,0.05
한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0
해물덮밥,700,771.93,100.45,42.04,22.44,1.19,1802.68,286.24,5.41,0.21
해물볶음밥,400,705.22,90.46,25.11,27,1.22,1074.35,241.8,5.38,0.15
회덮밥,500,683.02,103.3,30.21,16.55,10.93,744.27,88.65,2.9,0.11
깻잎나물볶음,200,206,11.5,7.5,14.4,0.6,1042.68,0,1.7,0.1
돼지고기볶음,200,350.67,18.21,22.96,20.67,8.2,1051.76,57.87,5.12,0.15
돼지껍데기볶음,150,352,24.5,25.8,16.7,5.5,779.81,47.75,4.9,0.1
두부김치,250,288.21,14.08,19.47,17.12,1.49,989.69,13.92,3.17,0.08
머위나물볶음,150,108,7.6,3.5,7,1.8,718.63,0,0.8,0
멸치풋고추볶음,20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
소세지볶음,200,471,31.8,18.8,29.9,8.9,1436.06,60.26,8.8,0.2
순대볶음,400,582,76.7,20.7,21.3,5.4,1500.35,141.72,5.1,0.1
양송이버섯볶음,150,136,11,4.5,8.3,1.2,515.17,0,1.4,0
오삼불고기,200,363,20.5,25.6,19.9,7.6,885.09,184.46,5.2,0.1
주꾸미볶음,200,211.41,22.83,18.33,5.2,5.06,918.86,200.76,0.61,0.02
표고버섯볶음,150,142,15.8,4.5,6.7,2.6,574.8,0,0.8,0
해물볶음,400,419.06,32.2,38.2,15.3,7.4,1755.16,329.59,2.1,0.1
곰보빵,70,277.34,42.16,6.31,9.27,11.73,202.25,23.59,4.63,0.21
만주,70,222.49,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04
버터크림빵,60,229.96,27.74,4.91,11.04,7.19,191.18,17.81,8.44,0.28
불고기피자,200,505,61.2,27.4,16.7,9.2,916.87,45.7,9.3,0.4
참치샌드위치,250,555,36.5,23.3,35.1,10.1,915.59,57.86,7.1,0.3
찹쌀도우넛,70,207.05,39.95,3.53,3.68,12.13,242.99,1.16,1.95,0.04
채소고로케,100,300.65,31.19,7.13,16.38,3.37,403.33,41.9,3.59,0.15
초콜릿케이크,100,420.24,43.6,5.32,24.96,23.13,170,50.84,14.4,0.38
치즈케이크,100,329.15,28.64,7.23,20.63,15.28,200.67,126.78,10.99,0.61
치즈피자,200,553,71.2,31.4,15.8,6.8,949.96,48.04,11.5,0.4
페이스트리빵,70,319.59,32.52,5.99,18.4,5.75,295.79,16.95,12.07,0.59
페퍼로니피자,200,532,70.3,29.4,14.8,7.5,945.22,41.73,10.9,0.4
포테이토피자,250,628,71.6,28,25.5,8.5,999.93,48.95,10.3,0.3
수정과,150,133,20.34,0.6,5.47,20.69,9.72,0,0.06,0.08
식혜,150,130.14,24.32,2.3,2.63,17.04,3.38,0,0.07,0
간장마늘쫑장아찌,50,30,5.4,1,0.5,3.9,813.64,0,0,0
고추장마늘쫑장아찌,50,55,10.5,1.3,0.9,5.6,707.34,0,0.1,0
매실장아찌,30,72.88,17.43,0.5,0.13,11.45,337.86,0,0.02,0
무장아찌,30,23.92,5.03,0.44,0.23,2.89,879.81,0.04,0.01,0
계적,250,488.08,0,57.72,30.43,0,210.11,169.21,8.09,0.24
낙지꼬지,80,75.35,2.83,13.14,1.28,0,207.07,133.75,0.14,0.01
돔베기적,100,159.49,0,30.08,7.42,0,451.25,64.23,0.6,0.03
소고기산적,200,453.08,7.33,48.41,25.57,0,1392.84,134.83,7.06,0.87
소라산적,80,120.1,6.45,17.92,2.51,0.85,396.68,100.34,0.38,0.02
오징어산적,80,101.71,3.6,17.38,1.98,0.92,477.11,234.25,0.28,0
홍어적,100,89.15,0,23.59,0.66,0.28,323.53,96.77,0.12,0
홍합산적,80,156.67,10.58,17.78,4.8,3.34,719.72,60.72,0.83,0.04
가자미전,150,230.28,6.92,25.76,11.07,0.31,819.37,176.27,2.24,0.06
고추전,150,274.69,17.01,12.91,17.22,2.17,362.21,78.81,3.52,0.09
굴전,100,195,14.5,10.6,10.5,1.3,325.7,96.88,2.1,0.1
깻잎전,150,361.1,14.54,17.74,25.78,1.06,480.15,131.8,5.43,0.15
녹두빈대떡,100,207.94,20.93,7.95,10.27,0.1,232.05,12.48,2.26,0.06
동그랑땡(육원전),150,309.2,12.68,19.62,20,0.98,553.09,103.27,4.66,0.12
동태전,150,268.05,10.54,22.64,15.04,0.22,702.16,178.76,3.17,0.09
두부전,150,254.64,7.5,20.46,15.87,0.03,317.15,3.28,2.01,0.04
미나리전,150,226.41,34.23,5.24,7.62,1.74,248.7,11.89,1.23,0.05
배추전,150,240.75,35.52,5.17,8.67,5.02,326.83,7.24,1.37,0.08
버섯전,150,240.69,16.19,10.52,14.87,2.74,313.76,100.1,2.29,0.06
야채전,100,194,21.6,5.4,9.5,2.4,321.52,43.15,2.1,0.1
파전,150,292.8,34.81,6.83,14.03,0.79,345.96,46.14,2.26,0.07
햄부침,100,244,11.3,11.3,17.1,1,715.66,72.11,4.4,0.1
호박부침개,100,129,10.1,3.9,8.1,3.6,174.33,52.48,1.7,0.1
호박전,150,208.1,16.1,6.48,13.09,2.85,276.95,92.53,2.34,0.06
화양적,150,272.65,21.35,13.58,14.77,1.21,797.03,123.25,3.83,0.1
가자미조림,300,297.98,21.5,37.1,7.1,10.5,1692.83,227.98,1.3,0.1
고추조림,100,111,13.4,3.3,4.9,7.1,779.1,7.09,0.7,0
동태조림,250,276,17.4,40.8,4.7,10.2,1391.69,218.45,1.1,0.2
돼지고기메추리알장조림,50,63.49,3.37,8.34,1.85,1.27,582.99,47.64,0.44,0.01
북어조림,100,181.86,17.14,20.83,3.33,8.2,765.95,99.63,0.67,0.05
소고기메추리알장조림,50,60.65,2.88,8.14,1.84,0.72,602.12,41.52,0.45,0.02
조기조림,300,384,12.8,41.1,18.8,4.5,1771.22,228.18,5,0.1
게살죽,800,564.83,107.35,17.9,7.1,0.17,1453.82,50.16,2.11,0.07
깨죽,800,515.35,79.31,13.66,15.94,3.59,1160.19,0,2.83,0.01
백합죽,700,455.28,84.7,16.5,5.6,0,996.8,32.1,1.3,0
소고기버섯죽,800,578.28,109.03,18.75,7.47,0.26,1261.8,26.08,2.72,0.14
어죽,800,552.06,100.8,20.4,7.5,9.8,2105.53,35.47,1.7,0
잣죽,700,874.48,155.28,19.18,19.63,2.36,878.81,0,1.99,0.24
참치죽,800,659.6,104.57,24.19,16.06,1.36,1342.4,39.96,1.81,0.06
고등어찌개,600,601.62,25.6,48.9,33.7,7.4,2584.06,156.06,7.1,0.3
김치찌개,400,243.03,11.93,15.07,15.01,3.03,1962.14,25.18,2.76,0.03
꽁치찌개,300,355,12.2,24,23.3,5.9,1296.4,63.32,4.9,2.9
두부전골,500,315.16,17.1,25.6,16.1,3.5,1650.77,8.85,2.4,0
버섯찌개,400,167.56,15.4,14.7,5.2,4.4,1293.87,16.55,1.3,0.1
부대찌개,600,399.5,39.7,18.4,18.6,6.2,2321.9,52.54,5.4,0.1
새우젓두부찌개,300,166,7.2,16.2,8.1,1.7,1123.08,10.71,1.6,0
소곱창전골,600,529,29.2,41.6,27.3,2.3,1779.63,453.19,8.3,0.5
햄김치찌개,300,189,12.7,11.1,10.4,3.6,1583.05,29.12,3.7,0.1
호박찌개,300,95,12.2,5.6,2.6,5.8,1024.11,9.26,0.4,0
대구찜,500,376.42,24.7,51.7,7.9,5.7,1898.67,263.32,1.1,0
도미찜,100,125.51,0.54,23,3.49,0,839.96,99.01,0.91,0.02
동태찜,500,394.32,25.8,50.9,9.7,5.7,1985.6,284.22,1.6,0.1
돼지등갈비찜,450,961.04,57.4,72.1,49.2,24.1,2395.17,199.57,16.1,0.3
돼지머리고기,200,650,3.5,42.4,52,0.1,333.64,171.1,15.2,0.4
매운갈비찜,300,517.44,23.7,61.3,19.7,10.7,1138.51,163.29,8,0.5
문어숙회,80,66.91,0.73,14.86,0.51,0,208.33,140.11,0.12,0
민어찜,100,136.88,0,21.47,5.91,0,1089.44,97.77,1.67,0.04
병어찜,100,179.69,0.16,18.86,11.52,0,650.98,71.92,3.59,0.06
북어찜,150,235,18,28.1,5.7,6.4,900.98,153.1,0.9,0.1
붕어찜,1100,835.6,71.6,54.3,36.9,16.2,3952.03,186.23,5.8,0.3
소갈비찜,250,494.6,13.14,49.86,26.96,4.32,753.64,141.48,10.34,1.07
순대,300,542.42,58.36,19.56,25.64,3.5,1019.19,19.22,7.3,0.12
아구찜,400,310.87,17.47,48.3,5.31,0.69,1406.2,389.13,0.86,0.03
아구찜,750,492.32,43.1,65.4,6.5,8.2,3425.72,420.21,1.1,0
안동찜닭,1500,1364.21,139.5,114.2,38.8,66.8,5462.32,450.42,10.3,0.2
전어찜,100,278.22,0.6,17.28,22.97,0,447.4,97.88,6.8,0.13
조기찜,100,182.12,1.64,20.06,10.59,0,602.03,138.43,2.85,0.08
참꼬막,80,90.79,4.59,12.47,2.5,0,234.16,65.03,0.38,0.02
한방오리백숙,300,469.53,3.36,68.79,20.1,0.35,276.43,372.07,6.39,0.14
해물찜,500,400.08,35.4,42.6,9.8,5.5,2137.21,419.16,1.5,0
홍어찜,250,202.67,1.22,47.12,1.03,1.22,644.96,235.12,0.35,0.01
갈낙탕,400,261.77,0.8,35.8,12.8,1.3,847.97,209.08,5.8,0.4
곰탕,300,183.25,18.1,19.4,3.7,0.5,716.36,50.41,1.5,0.1
광어매운탕,600,419.79,9.13,58.42,16.62,1.42,1799.02,375.05,3.05,0.08
낙지탕,600,187.8,10.4,29.4,3.2,1.9,1704.69,292.42,0.4,0
대구매운탕,600,361.75,16.84,57.36,7.21,1.09,1983.9,516.75,0.97,0.03
대구지리탕,600,262.02,9.9,41.6,6.2,1.5,1476.25,283.08,1.1,0.1
메기매운탕,600,400,48.6,28.6,10.2,5.7,1859.96,137.36,2.9,0.2
복지리탕,600,232.05,10.3,41.7,2.7,1.4,1349.98,209.78,0.4,0
소탕,150,86.37,1.9,7.66,5.35,0.03,353.59,0,0.58,0.01
아구탕,600,246.07,12.8,37.8,4.9,1.8,1863.34,318.93,0.8,0
어탕,150,85.87,1.82,12.7,3.09,0,485.08,52.57,0.44,0.01
연포탕,1000,541.64,20.19,94.9,9.03,0.23,2337.46,1057.46,1.75,0.08
우럭매운탕,600,406.82,11.24,52.15,17.03,1.08,1773.88,362.77,2.97,0.08
육탕,150,87.63,0.35,12.66,3.95,0,356.94,43.79,1.71,0.18
전복탕,600,196.85,15.8,26.8,3,1.3,1774.4,291.38,0.6,0
조기매운탕,600,384.38,17.3,35.1,19.4,4.3,2272.92,274.17,4.8,0.1
짱뚱어탕,600,188.77,16.6,11.5,8.5,2.4,2050.9,22.22,0.9,0
추어탕,1000,316.72,26.8,22.7,13.2,0,2635.78,90.31,1.9,0
해물탕,600,267.81,16.6,39.8,4.7,0.8,2046.24,469.49,0.8,0
고구마맛탕,200,491,94.6,3.3,11,38.7,76.93,0,1.9,0
고구마튀김,100,252.96,33.8,2.72,11.87,7.72,148.41,20.84,1.74,0.05
고추튀김,100,202,14.6,7.6,12.6,2.3,249.15,35.91,2.7,0.1
닭튀김,300,903,48.8,65.2,49.7,1.5,1244.48,177.93,13,0.4
등심돈가스,200,623.83,38.49,32.99,37.55,3.66,574.08,98.16,9.12,0.26
모래집튀김,150,468.37,29.1,28.1,26.6,1.8,322.44,251.91,4.1,0.2
미꾸라지튀김,100,387.49,28.86,10.89,25.39,0.3,324.47,50.15,3.89,0.15
생선까스,200,653.44,46.56,24.33,41.1,1.96,788.62,72.72,7.96,0.25
안심돈가스,200,651.76,34.25,33.28,42.4,2.77,551.55,105.47,8.55,0.25
양념치킨,200,552,42.3,35.5,26.8,12.5,805.49,137.79,5.4,0.2
쥐포튀김,100,356.91,42.5,9.62,16.49,7.96,717.03,28.7,2.29,0.1
치즈돈가스,250,755.37,41.76,42.02,46.69,3.57,870.77,98.81,13.59,0.44
치킨까스,200,593,44.02,27.91,33.92,4.15,779.27,72.97,8.42,0.27
대구포,100,140.84,2.34,31.97,0.4,0,3875.95,107.15,0.17,0
북어포,20,66.46,0.32,15.42,0.39,0.22,128.99,85.03,0.13,0
매작과,30,123.86,19.83,2.25,3.95,4.93,29.83,10.03,0.7,0.03
산자,30,109.71,24.65,0.69,0.93,9.4,6.86,0,0.03,0
송화다식,30,110.83,22.19,2.49,1.35,8,4.04,0,0.27,0
약과,30,119.73,25.47,1.26,1.43,5.07,17.19,0,0.37,0.01
유과,30,127.09,22.27,0.84,3.85,7.24,6.84,0,0.41,0.01
글램핑 바비큐(오리지널 L),157,410,,17,,10,744,,7,
글램핑 바비큐(나폴리M),127,328,,15,,8,644,,6,
글램핑 바비큐(나폴리L),126,312,,16,,10,734,,7,
글램핑 바비큐(씬 M),105,266,,13,,8,596,,5,
글램핑 바비큐(씬 L),103,273,,13,,9,591,,7,
글램핑 바비큐(슈퍼시드 함유 도우M),172,485,,24,,14,1006,,13,
글램핑 바비큐(슈퍼시드 함유 도우L),156,392,,19,,11,741,,6,
글램핑 바비큐 더블치즈엣지(오리지널 M),129,330,,16,,10,611,,6,
글램핑 바비큐 더블치즈엣지(오리지널 L),196,489,,25,,11,1071,,10,
더블크러스트 이베리코(더블 크러스트 L),152,387,,19,,9,844,,7,
더블크러스트 이베리코(더블 크러스트 M),130,345,,12,,10,465,,7,
리얼불고기(오리지널 L),164,420,,14,,14,564,,10,
리얼불고기(오리지널 M),115,280,,13,,5,520,,4,
리얼불고기(나폴리L),130,334,,16,,5,541,,4,
리얼불고기(나폴리M),181,430,,23,,8,946,,7,
리얼불고기(씬 L),149,365,,20,,6,676,,6,
리얼불고기(씬 M),139,396,,22,,6,838,,9,
리얼불고기(슈퍼시드 함유 도우L),111,313,,15,,5,597,,8,
리얼불고기(슈퍼시드 함유 도우M),116,292,,14,,6,561,,4,
리얼불고기 더블치즈엣지(오리지널 L),133,344,,17,,7,544,,5,
리얼불고기 더블치즈엣지(오리지널 M),144,350,,18,,4,669,,6,
문어밤 슈림프(오리지널 L),170,428,,21,,5,856,,8,
문어밤 슈림프(오리지널 M),117,280,,15,,7,600,,3,
문어밤 슈림프(나폴리L),143,323,,18,,7,708,,4,
문어밤 슈림프(나폴리M),186,430,,22,,11,1078,,6,
문어밤 슈림프(씬 L),111,254,,15,,7,596,,4,
문어밤 슈림프(씬 M),153,389,,20,,11,912,,9,
문어밤 슈림프(슈퍼시드 함유 도우L),130,333,,19,,8,794,,7,
문어밤 슈림프(슈퍼시드 함유 도우M),118,280,,16,,9,608,,4,
문어밤 슈림프 더블치즈엣지(오리지널 L),143,322,,17,,10,682,,4,
문어밤 슈림프 더블치즈엣지(오리지널 M),144,347,,18,,6,784,,7,
베스트 콰트로(오리지널 L),186,460,,25,,8,1024,,9,
